TranscriptionId	Channel	StartTime	SegmentDuration	Transcription	RecordingId
376073	2	0:03:36.105	00:00:4.723	[filler/] [filler/] [eng_start/] Okay [eng_end/] maraming salamat sa impormasyon na yan [filler/]	227c3108-ed81-4c42-b6f9-988f503fcc43
306027	2	0:03:10.009	00:00:17.884	[filler/] [n_s/] [filler/] Sige sige salamat [filler/] Gusto ko sana malaman kailan babaguhin yung mga [eng_start/] plan [eng_end/] na yan [n_s/] sa [eng_start/] account [eng_end/] ko [n_s/] [filler/] at may mga karagdagang aksyon pa na kailangan akong gawin bago ako umalis dito sa bansa [n_s/]	e15a3822-3849-4ac2-afd2-e426d888c1ee
306015	2	0:00:56.541	00:00:5.229	[n_s/] [filler/] [filler/] [eng_start/] Two zero eight [eng_end/] "Rizal [eng_start/] Avenue" [eng_end/] [uni/] "Caloocan [eng_start/] City" [eng_end/]	e15a3822-3849-4ac2-afd2-e426d888c1ee
335285	1	0:03:03.435	00:00:3.849	[filler/] Pwede po kayong tumawag ulit pag natapos na po ang kontrata [eng_start/] ma'am [eng_end/]	57f44268-fbf9-4616-868e-0768e637f0e6
376067	2	0:02:43.839	00:00:5.746	[n_s/] [filler/] tama tama [n_s/] sige tama	227c3108-ed81-4c42-b6f9-988f503fcc43
306012	2	0:00:39.824	00:00:2.650	[filler/] [eng_start/] One two three four five [eng_end/] [n_s/]	e15a3822-3849-4ac2-afd2-e426d888c1ee
310074	1	0:00:30.257	00:00:4.917	Salamat po at [filler/] kailangan ko din po ng petsa po ng inyong kapanganakan	9591d37d-3d5f-470b-81ab-f93624f58b92
305428	2	0:00:09.100	00:00:6.124	[filler/] Magandang araw po [eng_start/] ma'am [eng_end/] [filler/] Hingi lang po sana ako [eng_start/] ma'am [eng_end/] ng impormasyon tungkol po [eng_start/] I. D. D. package [eng_end/] [n_s/]	c286961d-ae39-47ee-b3f2-638e83b26080
306017	2	0:01:11.152	00:00:8.741	[filler/] Nagpaplano sana akong manatili ng matagal tagal sa [eng_start/] "Spain" [eng_end/] nag-aalala lang ako sa mga dagdag na singilin habang naroon ako	e15a3822-3849-4ac2-afd2-e426d888c1ee
305447	1	0:02:53.150	00:00:14.150	[filler/] Sige sige po [filler/] hingiin ko nalang po sa- sana na wag niyo po munang ibababa ang telepono [filler/] ginagawa ko na po yung kahilingan ninyo at [filler/] ipapadala ko ang [eng_start/] invoice [eng_end/] sa pamamagitan po ng	c286961d-ae39-47ee-b3f2-638e83b26080
338233	2	0:03:02.391	00:00:7.299	[filler/] [eng_start/] Okay [eng_end/] po sige po [filler/] pwede po bang magparehistro ng bagong [eng_start/] subscription [eng_end/] po [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
305430	2	0:00:23.007	00:00:5.239	[eng_start/] Okay [eng_end/] sige po [filler/] [eng_start/] zero nine two seven six one seven two one one zero [eng_end/]	c286961d-ae39-47ee-b3f2-638e83b26080
338223	1	0:01:19.318	00:00:7.370	[filler/] [filler/] [eng_start/] Okay [eng_end/] po at naalala niyo po ba kung kailan niyo binili ang telepono	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
331071	1	0:00:39.116	00:00:14.546	Maraming salamat ho na-check ko na po yung [eng_start/] account [eng_end/] nyo at ang mga pwede ko pong ibigay sa inyo na [eng_start/] landline service [eng_end/] o pwede nating idagdag sa inyong linya ay ang mga [filler/] saglit ho maha- pwede ko po bang malaman kung meron po kayong [eng_start/] modem [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
376066	1	0:02:27.982	00:00:19.108	[n_s/] [filler/] Sige po [filler/] walang problema po iyan maaari ko pong [filler/] tignan sa [eng_start/] system [eng_end/] ko [n_s/] kung ano po yung kasalukuyan ninyong telepono at base po dito ang telepono niyo po ay ang tatak ay "Oppo" at ang modelo po ay A. [eng_start/] fifty-two [eng_end/] po	227c3108-ed81-4c42-b6f9-988f503fcc43
335272	2	0:00:41.940	00:00:5.516	[filler/] Opo [filler/] ipinanganak po ako noong ika-sampu ng "Nobyembre" [eng_start/] nineteen eighty-six [eng_end/]	57f44268-fbf9-4616-868e-0768e637f0e6
376069	2	0:02:57.442	00:00:5.531	[filler/] ganoon anong [n_s/] mga telepono naman ang angkop para sa [eng_start/] five G. [eng_end/]	227c3108-ed81-4c42-b6f9-988f503fcc43
335279	1	0:02:03.189	00:00:11.305	[filler/] [eng_start/] Ma'am [eng_end/] dahil po sa [filler/] kasalukuyan po rin rin po kayong nagbabayad para sa telepono at sa loob ng anim na buwan ay pwede na po kayong lumipat sa [eng_start/] subscription [eng_end/] na [eng_start/] SIM [eng_end/] lang	57f44268-fbf9-4616-868e-0768e637f0e6
331078	2	0:02:17.988	00:00:5.154	[n_s/] [filler/] Confirm ko nalang din po kung kasama ba sa bayad yung [eng_start/] actual [eng_end/] na [eng_start/] phone ma'am [eng_end/]	8cf42327-97da-498d-a619-6c5bec59e5a3
335287	1	0:03:14.895	00:00:8.193	[n_s/] [filler/] sige [eng_start/] ma'am [eng_end/] [filler/] ilalagay ko po ang kahilingan niyo sa inyong [eng_start/] file [eng_end/] [filler/] tatapusin ang kontrata pagkalipas ng anim na buwan	57f44268-fbf9-4616-868e-0768e637f0e6
335271	2	0:00:33.976	00:00:3.035	[filler/] Opo ang aking pangalan ay "Jane Santos"	57f44268-fbf9-4616-868e-0768e637f0e6
310096	2	0:03:24.119	00:00:5.441	[n_s/] oo naman walang problema paalam	9591d37d-3d5f-470b-81ab-f93624f58b92
305436	2	0:01:08.587	00:00:6.144	[filler/] inaasahan ko po kasi tatawag po ako sa banda ng [eng_start/] "Australia" [eng_end/] at [eng_start/] "New Zealand" [eng_end/] po	c286961d-ae39-47ee-b3f2-638e83b26080
310081	2	0:01:20.211	00:00:6.492	[filler/] dalawa ang opsyon ko gaano ba katagal bago ko matanggap ang telepono pag gagawin ko ito sa [eng_start/] online [eng_end/]	9591d37d-3d5f-470b-81ab-f93624f58b92
305660	1	0:00:00.000	00:00:7.712	magandang araw maraming salamat sa pagtawag sa "A. B. C. Telecommunications Company" ito po si "Karen" ano pong maipaglilingkod ko sa inyo	bb02ec34-8c9d-4b42-aeac-dcba0840c77b
306029	1	0:03:26.357	00:00:11.231	[filler/] Wala na naman na po [eng_start/] miss [eng_end/] "Torres" no [filler/] Wala na po kayong kailangang [eng_start/] or [eng_end/] [filler/] kailangan gawin na karagdagang aksyon pa at [filler/] awtomatikong magkakaroon ng bisa ang mga bagong [n_s/] pagbabago po	e15a3822-3849-4ac2-afd2-e426d888c1ee
310072	1	0:00:13.777	00:00:10.736	[filler/] Ganun po ba nako wala pong problema [filler/] pwede ko po ito i-check habang [filler/] nag-uusap po tayo sa telepono [filler/] pwede ko po bang mahingi ang [filler/] numero po ng inyong telepono	9591d37d-3d5f-470b-81ab-f93624f58b92
338215	2	0:00:24.372	00:00:7.077	[n_s/] [filler/] [eng_start/] Zero one five six three five eight [eng_end/] [n_s/]	f60f43d3-6ab5-48c4-8eb1-ac2061e3661d
