case_id,case_text_value_type,case_text,case_source,case_type,case_transaction_type,case_status,case_priority_level,date_time_created,date_time_closed,customer_tier
C00027,User-chatbot conversation,"[""User: I can't log in to my BPI mobile app."", ""Chatbot: I'm sorry you're having trouble. Have you tried resetting your password?"", ""User: Yes, but it's still not working."", 'Chatbot: Please provide your username so I can assist you further.']",Phone,Deposits,Complaint,Assigned,High,2024-06-18 14:20:00+08:00,,High
C00028,Multiple messages,"['When will I receive my new credit card?', 'I applied for it two weeks ago.', 'I need it urgently.']",Facebook,Credit Cards,Inquiry,New,High,2024-06-19 11:00:00+08:00,,Low
C00029,Single message,Gusto ko pong mag-avail ng housing loan. Anong mga requirements?,Branch,Loans,Inquiry,Closed,Medium,2024-06-20 10:30:00+08:00,2024-06-20 16:00:00+08:00,Mid
C00030,Single message,My BPI debit card was charged for a transaction I didn't make. Can you investigate?,Phone,Deposits,Complaint,New,High,2024-06-21 15:45:00+08:00,,Low
C00031,Single message,I want to know how much my credit card balance is and when is the due date. Thanks!,Email,Credit Cards,Inquiry,New,Low,2024-07-01 10:15:00+08:00,,Mid
C00032,User-chatbot conversation,"['User: Hi, I accidentally locked my debit card. How can I unlock it?', ""Chatbot: Good day! Please verify your identity. What's your date of birth?"", 'User: January 1, 1990', 'Chatbot: Thank you. Please wait while I verify your details.']",Phone,Deposits,Request,Assigned,High,2024-07-02 15:50:00+08:00,,High
C00033,Multiple messages,"['My loan application is still pending.', ""It's been a month since I submitted it."", 'Can you please check the status?']",Facebook,Loans,Inquiry,New,High,2024-07-03 09:00:00+08:00,,Low
C00034,Single message,I need to update my registered email address in my BPI account.,Branch,Deposits,Request,Closed,Low,2024-07-04 11:30:00+08:00,2024-07-04 12:00:00+08:00,Mid
C00035,Single message,Bakit hindi gumagana yung OTP sa BPI app ko? Hindi ako maka-log in.,Phone,Deposits,Complaint,New,High,2024-07-05 16:15:00+08:00,,Low
C00036,Single message,"Hi, I want to report a fraudulent transaction on my credit card.",Email,Credit Cards,Complaint,New,High,2024-08-05 12:30:00+08:00,,High
C00037,User-chatbot conversation,"['User: How do I apply for a salary loan?', 'Chatbot: Do you have an existing BPI account?', 'User: Yes, I do.', 'Chatbot: Please provide your account number.', 'User: 987654321012', 'Chatbot: Please wait while I check your eligibility.']",Phone,Loans,Inquiry,Assigned,Medium,2024-08-06 10:00:00+08:00,,Mid
C00038,Multiple messages,"[""I transferred money to my BPI account, but it's not showing up."", 'The reference number is 1234567890.', 'Please check ASAP.']",Facebook,Deposits,Complaint,New,High,2024-08-07 14:45:00+08:00,,Low
C00039,Single message,Magkano po ang interest rate sa savings account ninyo ngayon?,Branch,Deposits,Inquiry,Closed,Low,2024-08-08 09:15:00+08:00,2024-08-08 09:45:00+08:00,Mid
C00040,Single message,I want to request a credit card statement copy sent to my email address.,Phone,Credit Cards,Request,New,Medium,2024-08-09 11:00:00+08:00,,Low
C00041,Single message,"Hello, I need help disputing a charge on my BPI credit card. It's not mine.",Email,Credit Cards,Complaint,New,High,2024-09-02 15:00:00+08:00,,High
C00042,User-chatbot conversation,"['User: I want to inquire about the requirements for a car loan.', 'Chatbot: Are you an existing BPI client?', 'User: Yes po.', 'Chatbot: Please provide your customer number.', 'User: 1234567890123', 'Chatbot: Thank you. Please wait while I retrieve your information.']",Phone,Loans,Inquiry,Assigned,Medium,2024-09-03 11:30:00+08:00,,Mid
C00043,Multiple messages,"['Bakit di ko ma-access ang BPI Online ko?', 'Laging error lumalabas.', 'Need ko magbayad ng bills ngayon.']",Facebook,Deposits,Complaint,New,High,2024-09-04 08:45:00+08:00,,Low
C00044,Single message,I need to request for a new ATM card kasi nasira yung akin.,Branch,Deposits,Request,Closed,High,2024-09-05 14:00:00+08:00,2024-09-05 15:30:00+08:00,Mid
C00045,Single message,What are the interest rates for your different loan products?,Phone,Loans,Inquiry,New,Low,2024-09-06 10:15:00+08:00,,Low
C00046,Single message,"Hi, BPI! I want to apply for a credit card pero I don't have ITR. What other documents can I submit?",Email,Credit Cards,Inquiry,New,Medium,2024-10-07 14:20:00+08:00,,Mid
C00047,User-chatbot conversation,"['User: How to enroll my BPI account in GCash?', 'Chatbot: Are you already a BPI Online Banking user?', 'User: Yes.', 'Chatbot: Please provide your BPI Online username.', 'User: mybpiusername123', 'Chatbot: Thank you. We will send an OTP to your registered mobile number.']",Phone,Deposits,Request,Assigned,Medium,2024-10-08 09:00:00+08:00,,High
C00048,Multiple messages,"['Bakit hindi pa rin na-a-approve yung loan ko?', 'I submitted all the requirements last month.', 'Kailangan ko na po talaga yung pera.']",Facebook,Loans,Complaint,New,High,2024-10-09 11:15:00+08:00,,Low
C00049,Single message,I would like to close my savings account. Ano po ang process?,Branch,Deposits,Request,Closed,Low,2024-10-10 10:45:00+08:00,2024-10-10 11:30:00+08:00,Mid
C00050,Single message,May unauthorized transaction po sa credit card ko. Please help!,Phone,Credit Cards,Complaint,New,High,2024-10-11 16:00:00+08:00,,High
C00051,Single message,"Good day, BPI. I'm interested in applying for a personal loan. Could you please tell me the requirements?",Email,Loans,Inquiry,New,Medium,2024-11-04 08:30:00+08:00,,Mid
C00052,User-chatbot conversation,"[""User: Hi, I can't access my BPI credit card online."", 'Chatbot: I understand. Please provide the last four digits of your credit card.', 'User: 1234', 'Chatbot: Thank you. Can you confirm your date of birth?', 'User: 01/01/1990']",Phone,Credit Cards,Complaint,Assigned,High,2024-11-05 13:45:00+08:00,,High
C00053,Multiple messages,"['Bakit hindi pa nagre-reflect yung deposit ko?', 'I deposited it yesterday morning.', 'Urgent po sana.']",Facebook,Deposits,Complaint,New,High,2024-11-06 10:00:00+08:00,,Low
C00054,Single message,Gusto ko sanang mag-open ng time deposit account. Pwede po malaman yung interest rates?,Branch,Deposits,Inquiry,Closed,Medium,2024-11-07 11:15:00+08:00,2024-11-07 12:00:00+08:00,Mid
C00055,Single message,I have been charged a late fee on my credit card even though I paid on time. Please investigate.,Phone,Credit Cards,Complaint,New,High,2024-11-08 16:30:00+08:00,,High
C00056,Single message,"Hello, I need to report that my BPI debit card was stolen. What should I do?",Email,Deposits,Request,New,High,2024-12-02 13:00:00+08:00,,High
C00057,User-chatbot conversation,"[""User: I am trying to pay my credit card bill via the mobile app, but it's not working."", 'Chatbot: Please provide your account number.', 'User: 1234567890', 'Chatbot: What error message are you receiving?', 'User: Transaction failed.']",Phone,Credit Cards,Complaint,Assigned,High,2024-12-03 10:30:00+08:00,,Mid
C00058,Multiple messages,"['May I know how to apply for a BPI auto loan?', 'What are the requirements?', 'Is there a minimum income requirement?']",Facebook,Loans,Inquiry,New,Medium,2024-12-04 09:15:00+08:00,,Low
C00059,Single message,Pwede po bang i-cancel yung automatic debit arrangement ko for my credit card?,Branch,Credit Cards,Inquiry,Closed,Low,2024-12-05 14:00:00+08:00,2024-12-05 15:00:00+08:00,Mid
C00060,Single message,I received an SMS claiming I have won something from BPI. Is this legitimate?,Phone,Deposits,Complaint,New,High,2024-12-06 16:45:00+08:00,,High
C00061,Single message,"Hi, BPI! I want to inquire about the requirements for opening a BPI Maxi Saver account.",Email,Deposits,Inquiry,New,Medium,2025-01-06 10:00:00+08:00,,Mid
C00062,User-chatbot conversation,"['User: My credit card got blocked after an online transaction. How can I unblock it?', 'Chatbot: To unblock your credit card, we need to verify your identity. Can you provide your date of birth?', 'User: July 20, 1988', 'Chatbot: Thank you. Please wait while I retrieve your information.']",Phone,Credit Cards,Request,Assigned,High,2025-01-07 14:30:00+08:00,,High
C00063,Multiple messages,"['Bakit ang tagal bago ma-approve yung home loan application ko?', 'More than a month na akong nag-submit ng documents.', 'Please check on this urgently.']",Facebook,Loans,Complaint,New,High,2025-01-08 11:45:00+08:00,,Low
C00064,Single message,Gusto ko pong mag-avail ng holiday promo ng BPI credit card. Paano po?,Branch,Credit Cards,Inquiry,Closed,Medium,2025-01-09 10:15:00+08:00,2025-01-09 11:00:00+08:00,Mid
C00065,Single message,Someone tried to use my credit card without my permission. I need to report this immediately.,Phone,Credit Cards,Complaint,New,High,2025-01-10 15:00:00+08:00,,High
C00066,Single message,"Hi, I would like to inquire about the annual fee for my BPI Blue Mastercard.",Email,Credit Cards,Inquiry,New,Medium,2025-02-03 09:30:00+08:00,,Mid
C00067,User-chatbot conversation,"['User: I need to update my address on my BPI account.', 'Chatbot: Please provide your account number for verification.', 'User: 0123456789', 'Chatbot: Please provide your old address.', 'User: 123 Main St, Manila']",Phone,Deposits,Request,Assigned,Medium,2025-02-04 11:00:00+08:00,,High
C00068,Multiple messages,"['Bakit po hindi ako makapag-withdraw sa ATM?', 'May pera naman ako sa account ko.', 'Kailangan ko po ngayon yung pera.']",Facebook,Deposits,Complaint,New,High,2025-02-05 15:45:00+08:00,,Low
C00069,Single message,What are the current rates for a BPI housing loan?,Branch,Loans,Inquiry,Closed,Low,2025-02-06 10:30:00+08:00,2025-02-06 11:00:00+08:00,Mid
C00070,Single message,I want to report a suspicious transaction on my BPI savings account.,Phone,Deposits,Complaint,New,High,2025-02-07 14:00:00+08:00,,High
C00071,Single message,"Hi, BPI! Gusto ko sanang malaman kung qualified ako sa pre-approved loan. Salamat!",Email,Loans,Inquiry,New,Low,2025-03-03 16:00:00+08:00,,Mid
C00072,User-chatbot conversation,"['User: I forgot my username for BPI online banking.', 'Chatbot: Please provide the last four digits of your ATM card linked to your online account.', 'User: 4321', 'Chatbot: Please provide your date of birth.', 'User: 02/22/1985']",Phone,Deposits,Request,Assigned,High,2025-03-04 10:30:00+08:00,,High
C00073,Multiple messages,"['Bakit hindi pa rin nagre-reflect yung cashback sa credit card ko?', 'I reached the spending requirement na.', 'Tagal naman mag-credit.']",Facebook,Credit Cards,Complaint,New,High,2025-03-05 14:45:00+08:00,,Low
C00074,Single message,I want to know the process for applying for a BPI Family Housing Loan.,Branch,Loans,Inquiry,Closed,Medium,2025-03-06 09:00:00+08:00,2025-03-06 09:30:00+08:00,Mid
C00075,Single message,My BPI credit card was charged twice for the same transaction. Please help me resolve this.,Phone,Credit Cards,Complaint,New,High,2025-03-07 11:15:00+08:00,,High
C00076,Single message,"Hi, BPI! I need to request for a new credit card replacement kasi nagka-damage yung current card ko.",Email,Credit Cards,Request,New,High,2025-04-07 14:00:00+08:00,,Mid
C00077,User-chatbot conversation,"['User: How do I enroll my existing BPI account for online banking?', 'Chatbot: Do you have a BPI ATM card?', 'User: Yes.', 'Chatbot: Please enter your ATM card number.', 'User: 1234567890123456', 'Chatbot: Please enter your PIN.']",Phone,Deposits,Inquiry,Assigned,Medium,2025-04-08 10:30:00+08:00,,High
C00078,Multiple messages,"['I applied for a personal loan online. When can I expect a response?', ""It's been two weeks since I submitted my application."", 'Please provide an update.']",Facebook,Loans,Inquiry,New,High,2025-04-09 11:00:00+08:00,,Low
C00079,Single message,Pwede po ba malaman kung magkano yung maintaining balance sa savings account ninyo?,Branch,Deposits,Inquiry,Closed,Low,2025-04-10 09:45:00+08:00,2025-04-10 10:15:00+08:00,Mid
C00080,Single message,I made a deposit sa wrong account. How to reverse the transaction?,Phone,Deposits,Complaint,New,High,2025-04-11 15:30:00+08:00,,High
C00081,Single message,"Hi, BPI! I want to inquire about your credit card installment options.",Email,Credit Cards,Inquiry,New,Medium,2025-05-05 13:30:00+08:00,,Mid
C00082,User-chatbot conversation,"[""User: I can't withdraw from my ATM. It says 'Insufficient Funds', but I know I have money in my account."", 'Chatbot: Please enter your ATM card number.', 'User: 9876543210', 'Chatbot: Please enter your date of birth.', 'User: 03/15/1992']",Phone,Deposits,Complaint,Assigned,High,2025-05-06 11:00:00+08:00,,High
C00083,Multiple messages,"['I applied for a salary loan and received an approval confirmation. How long before I get the money?', 'I need the funds ASAP.', 'Thanks!']",Facebook,Loans,Inquiry,New,High,2025-05-07 15:45:00+08:00,,Low
C00084,Single message,I want to request a bank certificate for my savings account.,Branch,Deposits,Request,Closed,Low,2025-05-08 09:30:00+08:00,2025-05-08 10:00:00+08:00,Mid
C00085,Single message,Unauthorized debit transaction happened on my credit card. Can you investigate?,Phone,Credit Cards,Complaint,New,High,2025-05-09 13:15:00+08:00,,High
C00086,Single message,"Hi, BPI! I want to know more about your rewards program for your credit cards.",Email,Credit Cards,Inquiry,New,Medium,2025-06-02 14:00:00+08:00,,Mid
C00087,User-chatbot conversation,"[""User: I am trying to transfer funds to another BPI account but it's not going through."", 'Chatbot: Please provide your account number.', 'User: 123456789011', ""Chatbot: Please provide the recipient's account number."", 'User: 987654321099', 'Chatbot: What is the amount you are trying to transfer?']",Phone,Deposits,Complaint,Assigned,High,2025-06-03 10:45:00+08:00,,High
C00088,Multiple messages,"['When will my car loan be fully paid?', 'I want to request for a copy of the amortization schedule.', 'Thank you.']",Facebook,Loans,Request,New,Medium,2025-06-04 16:15:00+08:00,,Low
C00089,Single message,May service fee ba if I withdraw over the counter?,Branch,Deposits,Inquiry,Closed,Low,2025-06-05 09:00:00+08:00,2025-06-05 09:30:00+08:00,Mid
C00090,Single message,I want to report a missing BPI credit card. How do I block it?,Phone,Credit Cards,Request,New,High,2025-06-06 11:30:00+08:00,,High
C00091,Single message,"Hi, BPI! I want to inquire about your Peso Fixed Income Fund investment option.",Email,Deposits,Inquiry,New,Medium,2025-07-07 13:45:00+08:00,,Mid
C00092,User-chatbot conversation,"['User: I am having trouble logging in to my BPI mobile banking app.', 'Chatbot: Are you using the latest version of the app?', 'User: Yes, I updated it last week.', 'Chatbot: Have you tried resetting your password?', ""User: Yes, but it still won't let me log in.""]",Phone,Deposits,Complaint,Assigned,High,2025-07-08 11:15:00+08:00,,High
C00093,Multiple messages,"['Kailan po kaya magkakaroon ng ATM card yung bagong account ko?', 'I opened it 2 weeks ago po.', 'Sana mapadala na po.']",Facebook,Deposits,Inquiry,New,High,2025-07-09 15:00:00+08:00,,Low
C00094,Single message,Can I pay my BPI credit card bill using another bank's online platform?,Branch,Credit Cards,Inquiry,Closed,Low,2025-07-10 09:45:00+08:00,2025-07-10 10:15:00+08:00,Mid
C00095,Single message,I want to pre-terminate my personal loan. What are the charges?,Phone,Loans,Inquiry,New,Low,2025-07-11 13:00:00+08:00,,High
C00096,Single message,"Hi, BPI! I need to know what the requirements are to upgrade my credit card to a BPI Visa Signature card.",Email,Credit Cards,Inquiry,New,Medium,2025-08-04 15:30:00+08:00,,Mid
C00097,User-chatbot conversation,"['User: My BPI Online banking account is locked. How can I unlock it?', 'Chatbot: Please verify your account by providing your registered mobile number.', 'User: 09171234567', 'Chatbot: We have sent an OTP to your registered mobile number. Please provide the code.', 'User: 123456']",Phone,Deposits,Request,Assigned,High,2025-08-05 13:00:00+08:00,,High
C00098,Multiple messages,"['Hindi pa rin naayos yung problem sa debit card ko.', 'I reported it last week pa.', 'Bakit ang tagal?']",Facebook,Deposits,Complaint,New,High,2025-08-06 10:00:00+08:00,,Low
C00099,Single message,What is the maximum amount I can withdraw from my BPI savings account in a day?,Branch,Deposits,Inquiry,Closed,Low,2025-08-07 09:15:00+08:00,2025-08-07 09:45:00+08:00,Mid
C00100,Single message,I need to request for a copy of my loan amortization schedule.,Phone,Loans,Request,New,Medium,2025-08-08 14:30:00+08:00,,High
C00101,Single message,"Hi, BPI! I need to know what the requirements are for opening a BPI savings account for my child.",Email,Deposits,Inquiry,New,Medium,2025-09-01 16:00:00+08:00,,Mid
C00102,User-chatbot conversation,"['User: My credit card was charged twice for the same amount. Can you help me?', 'Chatbot: Please provide your credit card number.', 'User: 4567890123456789', 'Chatbot: Please provide the date of the transaction.', 'User: August 25, 2025', 'Chatbot: Please wait while I check your transaction history.']",Phone,Credit Cards,Complaint,Assigned,High,2025-09-02 11:30:00+08:00,,High
C00103,Multiple messages,"['When will I receive my loan proceeds?', 'I have already signed the documents.', 'I need the money urgently. Please advise.']",Facebook,Loans,Inquiry,New,High,2025-09-03 09:00:00+08:00,,Low
C00104,Single message,I want to request a credit limit increase on my BPI credit card.,Branch,Credit Cards,Request,Closed,Medium,2025-09-04 14:45:00+08:00,2025-09-04 15:30:00+08:00,Mid
C00105,Single message,My BPI debit card was used for unauthorized online purchase. How do I file a dispute?,Phone,Deposits,Complaint,New,High,2025-09-05 10:15:00+08:00,,High
C00106,Single message,"Hi, BPI! I'm planning to travel abroad. Do I need to inform BPI so my credit card won't get blocked?",Email,Credit Cards,Inquiry,New,Low,2025-10-06 15:00:00+08:00,,Mid
C00107,User-chatbot conversation,"[""User: I can't access my BPI mobile app. It keeps saying 'Invalid Credentials'."", 'Chatbot: Have you recently changed your password?', ""User: No, I haven't."", 'Chatbot: Can you please provide the last four digits of your linked ATM card?', 'User: 1212']",Phone,Deposits,Complaint,Assigned,High,2025-10-07 10:30:00+08:00,,High
C00108,Multiple messages,"['Hi! Gusto ko pong mag apply ng housing loan.', 'Meron po ba kayong online application?', 'Salamat po.']",Facebook,Loans,Inquiry,New,Medium,2025-10-08 14:15:00+08:00,,Low
C00109,Single message,What is the minimum amount to open a BPI Regular Savings account?,Branch,Deposits,Inquiry,Closed,Low,2025-10-09 09:00:00+08:00,2025-10-09 09:30:00+08:00,Mid
C00110,Single message,I lost my BPI savings passbook. How do I get a replacement?,Phone,Deposits,Inquiry,New,Medium,2025-10-10 11:45:00+08:00,,High
C00111,Single message,"Hi, BPI! I need to know what the cash advance fee is on my BPI credit card.",Email,Credit Cards,Inquiry,New,Low,2025-11-03 15:30:00+08:00,,Mid
C00112,User-chatbot conversation,"[""User: I'm trying to transfer money using the app, but the recipient isn't showing up as an option."", 'Chatbot: Is the recipient also a BPI account holder?', 'User: Yes, they are.', 'Chatbot: Are you sure you have entered the account number correctly?', ""User: Yes, I've double checked.""]",Phone,Deposits,Complaint,Assigned,High,2025-11-04 11:00:00+08:00,,High
C00113,Multiple messages,"['How do I check my credit card balance online?', ""I can't seem to find it on the app."", 'Please provide instructions.']",Facebook,Credit Cards,Inquiry,New,Medium,2025-11-05 14:45:00+08:00,,Low
C00114,Single message,Can I apply for a personal loan even if I don't have a credit history?,Branch,Loans,Inquiry,Closed,Low,2025-11-06 09:30:00+08:00,2025-11-06 10:00:00+08:00,Mid
C00115,Single message,I made an overpayment on my credit card. How do I request a refund?,Phone,Credit Cards,Request,New,High,2025-11-07 11:15:00+08:00,,High
C00116,Single message,"Hi, BPI! I want to know what the current interest rate is for your BPI personal loan.",Email,Loans,Inquiry,New,Low,2025-12-01 14:00:00+08:00,,Mid
C00117,User-chatbot conversation,"['User: I tried to use my BPI credit card for an online purchase, but it was declined.', 'Chatbot: Do you have enough credit limit available?', 'User: Yes, I do.', 'Chatbot: Have you activated your card for online transactions?', 'User: Yes, I activated it already.']",Phone,Credit Cards,Complaint,Assigned,High,2025-12-02 10:30:00+08:00,,High
C00118,Multiple messages,"['Bakit hindi ko ma-view ang aking e-statements?', 'Laging nagloloko ang BPI app.', 'I need to see my statement ASAP!']",Facebook,Deposits,Complaint,New,High,2025-12-03 16:15:00+08:00,,Low
C00119,Single message,Can I request for a waiver of my BPI credit card annual fee?,Branch,Credit Cards,Request,Closed,Low,2025-12-04 09:00:00+08:00,2025-12-04 09:30:00+08:00,Mid
C00120,Single message,I want to report a suspicious email I received claiming to be from BPI.,Phone,Deposits,Complaint,New,High,2025-12-05 11:45:00+08:00,,High
C00121,Single message,"Hi, BPI! I want to know the requirements for applying for a secured credit card.",Email,Credit Cards,Inquiry,New,Medium,2026-01-05 14:30:00+08:00,,Mid
C00122,User-chatbot conversation,"[""User: I tried to deposit money in my BPI account via CDM, but the machine didn't issue a receipt."", 'Chatbot: What time did you make the deposit?', 'User: Around 10:00 AM today.', 'Chatbot: What is the branch location of the CDM?', 'User: BPI Ayala Avenue Branch']",Phone,Deposits,Complaint,Assigned,High,2026-01-06 11:00:00+08:00,,High
C00123,Multiple messages,"['Hi, BPI! I want to inquire how to apply for an auto loan online?', 'I need sana the money for a new car.', 'Thanks!']",Facebook,Loans,Inquiry,New,Medium,2026-01-07 15:45:00+08:00,,Low
C00124,Single message,What are the requirements to open a BPI Jumpstart Savings account?,Branch,Deposits,Inquiry,Closed,Low,2026-01-08 09:30:00+08:00,2026-01-08 10:00:00+08:00,Mid
C00125,Single message,I want to request a temporary credit limit increase on my BPI credit card.,Phone,Credit Cards,Request,New,Medium,2026-01-09 11:15:00+08:00,,High
C00126,Single message,"Hi, BPI! I want to know the requirements for a business loan. Meron ba kayong special offers for SMEs?",Email,Loans,Inquiry,New,Medium,2026-02-02 15:00:00+08:00,,Mid
C00127,User-chatbot conversation,"['User: I accidentally locked my BPI debit card. How do I unlock it through the app?', 'Chatbot: We need to verify your identity. Can you provide your date of birth?', 'User: 01/15/1990', 'Chatbot: Please wait while we verify your details. You can also unlock it by calling our hotline.']",Phone,Deposits,Request,Assigned,High,2026-02-03 10:30:00+08:00,,High
C00128,Multiple messages,"['May promo ba kayo for BPI credit cards this month?', 'Looking to purchase appliances.', 'What installment options are available?']",Facebook,Credit Cards,Inquiry,New,Medium,2026-02-04 16:45:00+08:00,,Low
C00129,Single message,I would like to request a statement of account for my BPI savings account for the past 6 months.,Branch,Deposits,Request,Closed,Medium,2026-02-05 09:00:00+08:00,2026-02-05 09:30:00+08:00,Mid
C00130,Single message,I lost my credit card and I want to report this incident. Paki block agad please.,Phone,Credit Cards,Request,New,High,2026-02-06 11:15:00+08:00,,High
C00131,Single message,"Hi, BPI! I need to know what the credit limit is on my credit card.",Email,Credit Cards,Inquiry,New,Low,2026-03-02 14:00:00+08:00,,Mid
C00132,User-chatbot conversation,"[""User: I can't access my BPI online banking. It says my account is locked."", 'Chatbot: Please provide the last four digits of the ATM card linked to your account.', 'User: 5678', 'Chatbot: What is your registered mobile number?', 'User: 09189876543']",Phone,Deposits,Complaint,Assigned,High,2026-03-03 10:30:00+08:00,,High
C00133,Multiple messages,"['Gusto ko po mag-avail ng car loan. Meron po bang promo this month?', 'Anong mga requirements?', 'Please advise.']",Facebook,Loans,Inquiry,New,Medium,2026-03-04 16:45:00+08:00,,Low
C00134,Single message,I would like to request a certificate of deposit for my BPI savings account.,Branch,Deposits,Request,Closed,Medium,2026-03-05 09:00:00+08:00,2026-03-05 09:30:00+08:00,Mid
